City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Butaritari,KI,82.78,light rain,3.0707,172.7902,Isles Sunset Lodge
13,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
16,Upata,VE,79.2,clear sky,8.0086,-62.3989,Posada Villa Nela
23,Montgomery,US,79.36,scattered clouds,39.1501,-77.1997,Comfort Inn Shady Grove - Gaithersburg - Rockville
25,Chipurupalle,IN,82.8,overcast clouds,18.3,83.5667,Sai Towers
32,Bonthe,SL,77.76,moderate rain,7.5264,-12.505,Bonthe Holiday Village
33,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
38,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
59,Matara,LK,77.61,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
67,Kuryk,KZ,77.99,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
69,San Clemente,US,82.85,few clouds,33.427,-117.612,Casablanca Inn
70,Kimbe,PG,86.88,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
76,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Hede,CN,89.47,few clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
90,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
95,Renqiu,CN,84.2,clear sky,38.6989,116.0936,City Garden Renqiu Meishicheng Store
98,Cayenne,GF,75.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
101,Asyut,EG,78.39,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
102,Tautira,PF,78.73,scattered clouds,-17.7333,-149.15,Pension Oaoa
105,Tateyama,JP,75.09,light rain,34.9833,139.8667,Tateyama Seaside Hotel
106,Bambanglipuro,ID,79.66,scattered clouds,-7.95,110.2833,Puri Brata
107,Shingu,JP,77.04,overcast clouds,33.7333,135.9833,Shingu UI Hotel
108,Jacareacanga,BR,75.02,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
110,Bilma,NE,89.17,clear sky,18.6853,12.9164,Expeditions Ténére voyages
113,Victoria,HK,88.18,overcast clouds,22.2855,114.1577,Mini Central
114,San Patricio,US,86.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
115,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
119,Vao,NC,76.28,light rain,-22.6667,167.4833,Hotel Kou-Bugny
120,Annau,TM,82.8,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
122,Samarai,PG,82.11,overcast clouds,-10.6167,150.6667,Nuli Sapi
123,Ranong,TH,80.4,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
130,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
133,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
134,Micheweni,TZ,77.45,broken clouds,-4.9667,39.8333,
137,Buraydah,SA,84.9,clear sky,26.326,43.975,Mövenpick Qassim
141,Faanui,PF,80.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,Jamestown,US,76.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
144,Korla,CN,75.76,overcast clouds,41.7597,86.1469,Gulisitan Hotel
146,Yanam,IN,82.35,overcast clouds,16.7333,82.2167,The Regency Hotel
148,Hithadhoo,MV,82.13,moderate rain,-0.6,73.0833,Scoop Guest House
152,Andros Town,BS,80.56,overcast clouds,24.7,-77.7667,Hanks place
157,Baglan,AF,84.63,overcast clouds,36.1307,68.7083,Habibullah MOsazai
158,Poso,ID,83.7,broken clouds,-1.3959,120.7524,Hotel 77 Poso
162,Villa Del Rosario,CO,80.98,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
163,Galesong,ID,80.62,broken clouds,-5.3166,119.3661,Sapriadi Appy
167,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Beach Rotana
172,Shobara,JP,79.92,clear sky,34.85,133.0167,Kampo-no-sato Shobara
175,Gizo,SB,84.33,few clouds,-8.103,156.8419,Imagination Island
177,Cosala,MX,89.02,few clouds,24.4125,-106.6908,Hotel Real del Conde
182,Bogande,BF,82.24,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
188,Awbari,LY,77.38,clear sky,26.5921,12.7805,فندق أوباري
191,Buala,SB,83.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
192,Feni,BD,78.26,moderate rain,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
193,Gunjur,GM,78.87,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
201,Hami,CN,81.16,overcast clouds,42.8,93.45,Laoyutang Resort
204,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
205,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
206,Mitsamiouli,KM,76.75,clear sky,-11.3847,43.2844,Foyer ADM
209,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
212,Coahuayana,MX,79.72,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
214,Lorengau,PG,83.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
222,Karratha,AU,76.59,broken clouds,-20.7377,116.8463,ibis Styles Karratha
228,Dasoguz,TM,75.02,clear sky,41.8363,59.9666,Hotel Erik
230,Acajutla,SV,76.6,light rain,13.5928,-89.8275,Laureles
232,Sawakin,SD,83.68,clear sky,19.1059,37.3321,فندق الدويم
234,Sestri Levante,IT,76.06,few clouds,44.2732,9.3968,Grande Albergo
241,San Andres,CO,78.82,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
253,Luqiao,CN,86.02,broken clouds,28.5808,121.3772,Taizhou International Hotel
259,Cabo San Lucas,MX,88.18,few clouds,22.8909,-109.9124,Vista Roof Restaurant
260,Raton,US,84.54,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
263,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
264,Searcy,US,89.98,clear sky,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
269,Anlu,CN,82.45,clear sky,31.1661,112.5831,Thank Inn Plus Hotel Hubei Jingmen Zhongxiang Wenfeng Road
280,Kavieng,PG,84.33,few clouds,-2.5744,150.7967,Nusa Island Retreat
281,Bengkulu,ID,78.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
282,Gat,IL,76.82,clear sky,31.61,34.7642,OlusHome
285,Wahpeton,US,75.92,clear sky,46.2652,-96.6059,Select Inn Breckenridge
288,Noumea,NC,76.98,light rain,-22.2763,166.4572,Hôtel Le Lagon
289,West Point,US,89.11,clear sky,33.6076,-88.6503,Hampton Inn & Suites West Point
291,Isla Vista,US,89.38,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
294,Trincomalee,LK,79.52,overcast clouds,8.5711,81.2335,Welcombe Hotel
297,Nara,JP,79.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
298,Florida,US,85.98,clear sky,28.7505,-82.5001,Sportsmens Cove
299,Duki,PK,81.1,clear sky,30.1541,68.5728,ماسٹر رشید مرحوم
302,Cockburn Town,TC,81.41,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
306,Maizuru,JP,78.69,overcast clouds,35.45,135.3333,Maizuru Grand Hotel
308,Maumere,ID,82.31,broken clouds,-8.6199,122.2111,Sylvia Hotel
309,Jibuti,DJ,84.6,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
310,Key Largo,US,82.99,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
311,Hasaki,JP,75.6,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
312,Laguna,US,88.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
317,Chabahar,IR,83.19,overcast clouds,25.2919,60.643,هتل گدروشیا
320,Bacolod,PH,84.79,scattered clouds,10.6667,122.95,Planta Hotel & Residences
325,Bourail,NC,79.83,light rain,-21.5667,165.4833,Motel Allamanda
328,Nanpara,IN,85.26,clear sky,27.8667,81.5,Nanpara Hotel Residency
330,Kathu,TH,85.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
338,Skeldon,GY,75.43,overcast clouds,5.8833,-57.1333,Classic International Hotel & Suites
340,Shasta Lake,US,80.96,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
342,Creston,US,76.37,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
343,Sakakah,SA,84.88,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
345,Vero Beach,US,84.97,few clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
350,Buluang,PH,87.82,clear sky,13.3068,123.3425,Sacueza Beach Resort
353,Point Fortin,TT,78.85,few clouds,10.1833,-61.6833,Jus Les' Suites
354,Biak,ID,81.1,few clouds,-0.9131,122.8766,Penginapan Kim
358,Kapit,MY,77.22,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
359,Adra,ES,84.87,scattered clouds,36.7496,-3.0206,Hostal Zapata
363,Dunbar,US,86.22,scattered clouds,38.3606,-81.7374,"Holiday Inn & Suites Charleston West, an IHG Hotel"
364,Banda Aceh,ID,80.51,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
365,Ada,US,81.66,clear sky,43.4166,-116.1262,
366,Namatanai,PG,83.95,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
367,Sur,OM,88.21,broken clouds,22.5667,59.5289,Sur Plaza Hotel
369,Owase,JP,76.96,overcast clouds,34.0667,136.2,Business Hotel Phoenix
372,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
373,Morehead,US,86.86,clear sky,37.2711,-87.1764,CCI Express Inn
376,Ler,SS,75.09,few clouds,8.3018,30.1418,Leer Humanitarian Hub
377,Eyl,SO,78.26,overcast clouds,7.9803,49.8164,Amiin Hotel
378,Yumen,CN,77.9,broken clouds,40.2833,97.2,
379,Rodrigues Alves,BR,76.26,overcast clouds,-7.738,-72.6509,Pousada Aconchego
384,Avera,US,87.85,clear sky,33.194,-82.5271,
385,Champerico,GT,77.67,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
386,Koumac,NC,80.85,moderate rain,-20.5667,164.2833,Le Monitel
388,Luwuk,ID,83.64,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
389,Najran,SA,80.58,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
391,Araouane,ML,85.68,overcast clouds,18.9048,-3.5265,
392,Waingapu,ID,82.36,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
393,Hatsukaichi,JP,83.57,few clouds,34.35,132.3333,ホテル WAVE
397,Saint Andrews,US,75.29,moderate rain,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
405,Forestville,US,80.02,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
406,Muskogee,US,89.67,clear sky,35.5834,-95.3336,
410,Beatrice,US,84.29,scattered clouds,40.2681,-96.747,Victorian Inn Beatrice
412,Kalmunai,LK,78.55,overcast clouds,7.4167,81.8167,VS Villa
415,Beohari,IN,80.71,overcast clouds,24.05,81.3833,Shivanshu tiwari
416,Linxi,CN,79.84,clear sky,39.7,118.4333,Peace Hotel
418,Nago,JP,81.03,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
422,Gazanjyk,TM,75.78,clear sky,39.2446,55.5154,Railway motel
424,Mujiayingzi,CN,76.98,overcast clouds,42.1167,118.7833,Jinjiang Hotel
425,Meulaboh,ID,77.97,overcast clouds,4.1363,96.1285,Kost Pria
426,Honiara,SB,87.08,clear sky,-9.4333,159.95,Heritage Park Hotel
427,Kirakira,SB,83.77,broken clouds,-10.4544,161.9205,SanBiz Lodge
432,Thai Binh,VN,84.49,overcast clouds,20.45,106.3333,Sweden Hotel
433,Mawlaik,MM,77.38,overcast clouds,23.6333,94.4167,AKZ Guest House
434,Elizabeth City,US,78.82,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
436,Puerto Escondido,MX,79.21,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
437,Amalapuram,IN,83.19,overcast clouds,16.5833,82.0167,swayamprabha service apartments
439,Matay,EG,75.83,clear sky,28.419,30.7792,Nag Aespen
442,Iracoubo,GF,77.52,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
444,Hambantota,LK,78.8,overcast clouds,6.1241,81.1185,Bungalow 63
450,Ocos,GT,80.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
453,Dunmore Town,BS,81.37,overcast clouds,25.5,-76.65,Coral Sands Hotel
455,Yining,CN,78.26,overcast clouds,29.0361,114.5636,Xiushui Hotel
461,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
470,Faridpur,BD,82.09,moderate rain,23.6,89.8333,Progoti Muslim hostel
473,Port Blair,IN,82.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
476,Adrar,MR,88.03,clear sky,20.5022,-10.0711,
478,Ciudad Ojeda,VE,79.36,clear sky,10.1964,-71.3082,Hotel América
481,Baherden,TM,81.41,clear sky,38.4362,57.4316,
482,Angoram,PG,80.6,overcast clouds,-4.0625,144.0661,
489,Axim,GH,75.13,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
490,Kuala Terengganu,MY,80.44,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
491,Dalbandin,PK,88.74,clear sky,28.8947,64.4101,Sanjrani House
493,Hamilton,US,86.85,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
495,Powell,US,86.0,clear sky,40.1578,-83.0752,The Brig
501,Harper,LR,76.66,light rain,4.375,-7.7169,Screensaver
502,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
507,Manggar,ID,79.68,light rain,-2.8833,108.2667,Guest Hotel
511,Jiwani,PK,83.21,overcast clouds,25.05,61.7417,Hamza hotel jiwani
516,Bahia Honda,CU,78.57,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
519,Ashoknagar,IN,78.53,overcast clouds,24.5667,77.7167,Hotel Rajshree
524,Dingle,PH,85.41,few clouds,10.9995,122.6711,SEGAYA PROPERTY
528,Riberalta,BO,76.59,overcast clouds,-10.9833,-66.1,Hotel Colonial
529,Iralaya,HN,77.47,overcast clouds,15.0,-83.2333,Iglesia morava renovada
532,Basco,PH,85.24,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
533,Dakoro,NE,84.58,broken clouds,14.5106,6.765,Shagon mai liverpool
538,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
553,Dorado,PR,82.29,overcast clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
557,Pak Phanang,TH,80.82,light rain,8.3511,100.202,Green Park Inn Hotel
561,Santiago De Cuba,CU,80.71,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
562,Ishigaki,JP,82.53,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
563,Tual,ID,82.74,few clouds,-5.6667,132.75,Grand Vilia Hotel
568,Marawi,PH,79.02,broken clouds,7.9986,124.2928,Derogongan Residence
570,Wewak,PG,77.74,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
573,Pacific Grove,US,76.39,clear sky,36.6177,-121.9166,Lovers Point Inn
574,Vaitape,PF,80.4,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
575,Morant Bay,JM,80.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
576,Boyolangu,ID,80.08,few clouds,-8.1181,111.8935,Yos ega cv
579,Green River,US,87.19,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
585,Parit Buntar,MY,78.78,few clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
586,Sola,VU,81.34,broken clouds,-13.8833,167.55,Leumerus Bungalows
587,Mazagao,BR,77.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
589,Chakulia,IN,83.21,overcast clouds,22.4833,86.7167,BKD
592,Malindi,KE,76.91,light rain,-3.2175,40.1191,African House Resort
593,Marsh Harbour,BS,81.32,clear sky,26.5412,-77.0636,Abaco Beach Resort
598,Erenhot,CN,80.94,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
600,Funadhoo,MV,83.05,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
601,Havelock,US,80.55,clear sky,34.8791,-76.9013,Sherwood Motel
602,Dicabisagan,PH,87.89,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
603,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
605,Bafq,IR,80.94,clear sky,31.6128,55.4107,Alamdar Hotel
606,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
607,Nha Trang,VN,84.2,few clouds,12.25,109.1833,Hanoi Golden Hotel
608,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
609,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
613,Wilmington,US,78.71,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
615,Saint Anthony,US,76.78,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
622,Auki,SB,84.06,clear sky,-8.7676,160.7034,Auki Motel
624,Totness,SR,77.04,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
631,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
633,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
634,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
636,Qiqihar,CN,75.4,clear sky,47.3408,123.9672,Ji Hotel Qiqihar Bu Kui Street
637,Ha Tinh,VN,84.81,overcast clouds,18.3333,105.9,Phú Quý
638,Jiayuguan,CN,77.79,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
641,Lincolnton,US,76.35,clear sky,35.4737,-81.2545,Hampton Inn Lincolnton
644,Bajil,YE,84.88,broken clouds,15.0584,43.2851,فندق حضرموت
645,Barcelona,ES,87.33,clear sky,41.3888,2.159,Axel Hotel Barcelona
648,North Platte,US,87.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
649,Sterling,US,80.01,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
650,Ransang,PH,85.46,few clouds,8.9603,117.5828,Black and Crystal Sand Campsite
655,Itarema,BR,76.01,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
657,Hirara,JP,81.93,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
658,Jizan,SA,86.02,clear sky,17.3333,42.6667,شهدان. ابوالحجر
659,Loiza,PR,82.4,clear sky,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
663,Keti Bandar,PK,83.89,scattered clouds,24.1447,67.4497,Haji laloo memon house
664,Lucea,JM,79.39,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
668,Alamos,MX,80.94,overcast clouds,27.0167,-108.9333,Luz del Sol
672,Challans,FR,75.4,clear sky,46.8436,-1.8749,Citotel Le Challans
674,Salinopolis,BR,77.81,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
675,Rio Viejo,CO,76.66,overcast clouds,8.5874,-73.839,Hotel 5 Estrellas
682,Mutis,CO,77.77,overcast clouds,6.2262,-77.4044,Paraiso Escondido
686,Darab,IR,83.73,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
688,Bousso,TD,75.61,overcast clouds,10.4795,16.7117,
692,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
693,Ciudad Bolivar,VE,80.87,clear sky,8.1222,-63.5497,Hotel Edi
695,Majene,ID,80.6,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
698,Miramar,US,84.22,clear sky,25.9873,-80.2323,Stadium Hotel
707,Baoding,CN,83.01,overcast clouds,38.8511,115.4903,Xiu Lan Hotel
708,Jieshi,CN,82.11,moderate rain,22.8134,115.8257,Yuehai Hotel
712,Billings,US,83.28,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
713,Tres Picos,MX,77.47,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
717,Russell,US,89.2,clear sky,32.3502,-85.1999,Macs
722,Tambilil,PH,83.62,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
723,Kroya,ID,78.76,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
