City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,33.12,80,15,2.73,few clouds
1,Aqtobe,KZ,50.2797,57.2072,60.89,67,0,4.47,clear sky
2,Presidente Epitacio,BR,-21.7633,-52.1156,70.97,53,0,6.55,clear sky
3,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.75,81,40,19.57,scattered clouds
4,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,8,8.39,clear sky
5,Igarka,RU,67.4667,86.5833,63.57,79,49,8.77,scattered clouds
6,Aksarka,RU,66.5606,67.7975,50.45,55,20,7.23,few clouds
7,Albany,US,42.6001,-73.9662,68.41,83,100,9.35,overcast clouds
8,Chokurdakh,RU,70.6333,147.9167,48.45,52,85,12.17,overcast clouds
9,Baykit,RU,61.67,96.37,72.39,59,99,8.43,overcast clouds
10,Butaritari,KI,3.0707,172.7902,82.78,75,14,14.27,light rain
11,Thompson,CA,55.7435,-97.8558,45.37,75,100,10.49,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,50.31,72,55,1.01,broken clouds
13,Avarua,CK,-21.2078,-159.775,80.65,65,75,10.36,broken clouds
14,Busselton,AU,-33.65,115.3333,66.43,74,1,23.94,clear sky
15,Mataura,NZ,-46.1927,168.8643,45.48,73,6,2.44,clear sky
16,Upata,VE,8.0086,-62.3989,79.2,91,8,4.07,clear sky
17,Cidreira,BR,-30.1811,-50.2056,62.04,82,100,10.67,overcast clouds
18,Hobart,AU,-42.8794,147.3294,50.25,91,0,8.05,moderate rain
19,Ponta Do Sol,PT,32.6667,-17.1,68.72,80,19,4.12,few clouds
20,Castro,BR,-24.7911,-50.0119,55.36,87,9,3.18,clear sky
21,Ahipara,NZ,-35.1667,173.1667,62.08,71,100,4.9,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,31.66,80,75,13.8,light snow
23,Montgomery,US,39.1501,-77.1997,79.36,85,40,5.75,scattered clouds
24,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,0.54,light rain
25,Chipurupalle,IN,18.3,83.5667,82.8,76,99,9.82,overcast clouds
26,Bluff,NZ,-46.6,168.3333,45.81,67,18,3.85,few clouds
27,Longonjo,AO,-12.9067,15.2533,52.41,32,4,3.29,clear sky
28,Norman Wells,CA,65.282,-126.8329,65.88,31,39,6.31,scattered clouds
29,Babushkin,RU,51.7122,105.8647,62.06,72,95,1.1,overcast clouds
30,Saskylakh,RU,71.9167,114.0833,58.44,41,73,12.97,broken clouds
31,Bay Roberts,CA,47.5999,-53.2648,53.65,77,5,3.0,clear sky
32,Bonthe,SL,7.5264,-12.505,77.76,89,100,6.55,moderate rain
33,Atuona,PF,-9.8,-139.0333,78.15,67,0,19.77,clear sky
34,Lebu,CL,-37.6167,-73.65,49.75,83,88,5.57,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,49.91,89,100,2.77,overcast clouds
36,Oksfjord,NO,70.2396,22.3479,44.78,80,17,3.44,few clouds
37,Frontera,MX,26.9333,-101.45,96.33,22,1,5.99,clear sky
38,Hilo,US,19.7297,-155.09,82.13,67,100,9.22,overcast clouds
39,Bara,NG,10.3744,10.7288,74.26,87,100,5.37,overcast clouds
40,Chuy,UY,-33.6971,-53.4616,55.09,89,100,5.46,moderate rain
41,Izhma,RU,65.0083,53.9113,59.36,75,100,5.95,overcast clouds
42,Borogontsy,RU,62.6683,131.1683,63.21,70,100,3.24,overcast clouds
43,Clyde River,CA,70.4692,-68.5914,30.27,94,100,31.36,snow
44,Develi,TR,38.3906,35.4922,54.75,73,0,0.51,clear sky
45,Benghazi,LY,32.1167,20.0667,74.46,77,0,10.78,clear sky
46,Tiksi,RU,71.6872,128.8694,34.25,78,18,7.67,few clouds
47,Punta Arenas,CL,-53.15,-70.9167,32.11,74,40,11.5,scattered clouds
48,Airai,TL,-8.9266,125.4092,67.26,68,18,4.47,few clouds
49,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,77,0,18.14,clear sky
50,Upernavik,GL,72.7868,-56.1549,33.62,76,1,7.29,clear sky
51,Hofn,IS,64.2539,-15.2082,49.42,86,100,12.12,overcast clouds
52,East London,ZA,-33.0153,27.9116,54.66,59,85,10.07,overcast clouds
53,Stornoway,GB,58.2093,-6.3865,53.92,97,75,23.02,moderate rain
54,Hermanus,ZA,-34.4187,19.2345,54.81,49,12,8.23,few clouds
55,Sawtell,AU,-30.3833,153.1,66.22,52,0,9.22,clear sky
56,Geraldton,AU,-28.7667,114.6,66.61,88,40,10.36,moderate rain
57,Mar Del Plata,AR,-38.0023,-57.5575,44.1,89,0,5.75,mist
58,Vila,PT,42.0304,-8.1588,57.7,86,99,5.17,overcast clouds
59,Matara,LK,5.9485,80.5353,77.61,87,100,7.9,overcast clouds
60,Preobrazheniye,RU,42.9019,133.9064,66.02,73,93,10.94,overcast clouds
61,Port Alfred,ZA,-33.5906,26.891,54.66,64,75,13.0,broken clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,71.55,93,45,5.99,scattered clouds
63,Taltal,CL,-25.4,-70.4833,55.74,77,1,1.05,clear sky
64,Bredasdorp,ZA,-34.5322,20.0403,50.92,46,91,5.26,overcast clouds
65,Barrow,US,71.2906,-156.7887,48.22,66,0,5.75,clear sky
66,Ajdabiya,LY,30.7554,20.2263,74.8,55,0,8.48,clear sky
67,Kuryk,KZ,43.2,51.65,77.99,41,14,7.52,few clouds
68,Oranjemund,NA,-28.55,16.4333,56.21,64,1,8.12,clear sky
69,San Clemente,US,33.427,-117.612,82.85,84,20,7.0,few clouds
70,Kimbe,PG,-5.5502,150.1429,86.88,64,25,3.2,scattered clouds
71,Omboue,GA,-1.5746,9.2618,71.46,88,100,5.19,overcast clouds
72,Alexandria,EG,31.2156,29.9553,74.68,78,0,11.23,clear sky
73,Nelson Bay,AU,-32.7167,152.15,64.99,65,2,3.0,clear sky
74,Rio Grande,BR,-32.035,-52.0986,56.95,81,100,3.96,moderate rain
75,Carnarvon,AU,-24.8667,113.6333,72.5,80,94,9.24,overcast clouds
76,Kapaa,US,22.0752,-159.319,82.38,88,75,16.11,light rain
77,Caranavi,BO,-15.8167,-67.55,57.78,89,0,2.46,clear sky
78,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,8.05,broken clouds
79,Hede,CN,33.7681,120.2517,89.47,46,13,6.58,few clouds
80,Huarmey,PE,-10.0681,-78.1522,63.36,81,6,12.66,clear sky
81,Comarapa,BO,-17.9,-64.4833,49.17,95,48,4.68,scattered clouds
82,Kibre Mengist,ET,5.8833,38.9833,58.84,88,100,2.39,overcast clouds
83,Leningradskiy,RU,69.3833,178.4167,38.3,70,89,11.18,overcast clouds
84,Rikitea,PF,-23.1203,-134.9692,72.52,64,100,1.21,overcast clouds
85,Bethel,US,41.3712,-73.414,67.5,88,100,9.22,overcast clouds
86,Batemans Bay,AU,-35.7167,150.1833,65.91,54,51,6.51,broken clouds
87,Nikolskoye,RU,59.7035,30.7861,55.87,77,100,6.29,overcast clouds
88,Caravelas,BR,-17.7125,-39.2481,68.88,75,0,4.79,clear sky
89,Pudozh,RU,61.8099,36.5345,46.81,97,100,6.49,overcast clouds
90,Georgetown,MY,5.4112,100.3354,78.73,89,20,0.0,few clouds
91,Torres,BR,-29.3353,-49.7269,62.83,86,100,5.88,overcast clouds
92,Cherskiy,RU,68.75,161.3,55.78,32,22,9.98,few clouds
93,Narsaq,GL,60.9167,-46.05,44.82,73,100,4.23,overcast clouds
94,Khandyga,RU,62.6667,135.6,69.44,49,99,1.03,overcast clouds
95,Renqiu,CN,38.6989,116.0936,84.2,47,4,6.64,clear sky
96,Lavrentiya,RU,65.5833,-171.0,44.19,72,9,13.53,clear sky
97,Grants Pass,US,42.439,-123.3284,68.58,59,100,1.01,overcast clouds
98,Cayenne,GF,4.9333,-52.3333,75.09,1,0,0.0,clear sky
99,Ulaangom,MN,49.9811,92.0667,65.84,50,100,3.96,overcast clouds
100,Cape Town,ZA,-33.9258,18.4232,61.92,49,21,4.0,few clouds
101,Asyut,EG,27.181,31.1837,78.39,51,0,18.72,clear sky
102,Tautira,PF,-17.7333,-149.15,78.73,73,48,16.28,scattered clouds
103,Ak-Dovurak,RU,51.1833,90.6,58.78,70,9,2.98,clear sky
104,Fukue,JP,32.6881,128.8419,74.48,87,100,5.35,overcast clouds
105,Tateyama,JP,34.9833,139.8667,75.09,83,75,9.22,light rain
106,Bambanglipuro,ID,-7.95,110.2833,79.66,79,32,3.04,scattered clouds
107,Shingu,JP,33.7333,135.9833,77.04,73,100,2.64,overcast clouds
108,Jacareacanga,BR,-6.2222,-57.7528,75.02,73,87,1.57,overcast clouds
109,Grindavik,IS,63.8424,-22.4338,48.67,93,100,9.22,light rain
110,Bilma,NE,18.6853,12.9164,89.17,27,1,5.84,clear sky
111,Torbay,CA,47.6666,-52.7314,52.88,80,0,9.4,clear sky
112,Conde,BR,-7.2597,-34.9075,71.06,94,20,6.91,few clouds
113,Victoria,HK,22.2855,114.1577,88.18,80,100,15.99,overcast clouds
114,San Patricio,US,28.017,-97.5169,86.85,64,5,13.33,clear sky
115,Vaini,TO,-21.2,-175.2,80.76,74,40,11.5,scattered clouds
116,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.78,72,0,8.95,clear sky
117,Naze,JP,28.3667,129.4833,71.73,93,100,0.36,moderate rain
118,Masterton,NZ,-40.9597,175.6575,56.88,89,100,2.98,overcast clouds
119,Vao,NC,-22.6667,167.4833,76.28,84,99,15.39,light rain
120,Annau,TM,37.8876,58.516,82.8,40,1,13.44,clear sky
121,Lagoa,PT,39.05,-27.9833,65.57,89,0,7.87,clear sky
122,Samarai,PG,-10.6167,150.6667,82.11,78,89,9.26,overcast clouds
123,Ranong,TH,9.9658,98.6348,80.4,84,100,0.56,overcast clouds
124,Magadan,RU,59.5667,150.8,49.53,91,100,3.62,overcast clouds
125,Paita,PE,-5.0892,-81.1144,64.29,78,57,19.1,broken clouds
126,Pangody,RU,65.85,74.4859,54.75,45,71,16.2,broken clouds
127,Ekhabi,RU,53.5102,142.9671,44.56,94,100,6.08,light rain
128,Tuktoyaktuk,CA,69.4541,-133.0374,48.94,54,1,10.31,clear sky
129,Kaitong,CN,44.8135,123.15,74.68,48,0,5.95,clear sky
130,Praia,CV,14.9215,-23.5087,75.74,78,75,11.5,broken clouds
131,Oktyabrskoye,RU,43.0645,44.7417,62.74,88,100,4.47,overcast clouds
132,Souillac,MU,-20.5167,57.5167,66.58,88,20,1.14,few clouds
133,Salalah,OM,17.0151,54.0924,86.09,84,75,9.22,broken clouds
134,Micheweni,TZ,-4.9667,39.8333,77.45,76,84,13.0,broken clouds
135,Nongan,CN,44.382,125.1685,72.25,63,0,8.52,clear sky
136,Kikwit,CD,-5.041,18.8162,70.03,82,20,1.57,few clouds
137,Buraydah,SA,26.326,43.975,84.9,18,0,8.72,clear sky
138,Ramsar,IR,36.9226,50.6426,74.25,67,0,2.53,clear sky
139,Aklavik,CA,68.2191,-135.0107,71.53,36,21,6.17,light rain
140,Nanortalik,GL,60.1432,-45.2371,37.9,86,92,5.59,overcast clouds
141,Faanui,PF,-16.4833,-151.75,80.4,69,0,15.93,clear sky
142,Jamestown,US,42.097,-79.2353,76.71,89,0,8.05,clear sky
143,Sisimiut,GL,66.9395,-53.6735,36.18,95,100,17.18,overcast clouds
144,Korla,CN,41.7597,86.1469,75.76,31,100,20.4,overcast clouds
145,Namtsy,RU,62.7161,129.6658,64.17,62,6,3.6,clear sky
146,Yanam,IN,16.7333,82.2167,82.35,83,100,3.53,overcast clouds
147,Guerrero Negro,MX,27.9769,-114.0611,68.9,65,0,18.97,clear sky
148,Hithadhoo,MV,-0.6,73.0833,82.13,74,100,9.8,moderate rain
149,Sao Filipe,CV,14.8961,-24.4956,73.96,85,70,5.61,broken clouds
150,Pisco,PE,-13.7,-76.2167,64.02,72,4,3.44,haze
151,Esperance,AU,-33.8667,121.9,63.57,78,0,15.95,clear sky
152,Andros Town,BS,24.7,-77.7667,80.56,70,100,10.47,overcast clouds
153,Zhigansk,RU,66.7697,123.3711,53.64,47,0,20.56,clear sky
154,Homer,US,59.6425,-151.5483,60.67,64,40,18.01,scattered clouds
155,Tudora,RO,47.5167,26.6333,62.19,70,78,3.04,broken clouds
156,Tilichiki,RU,60.4667,166.1,48.58,66,100,11.12,overcast clouds
157,Baglan,AF,36.1307,68.7083,84.63,20,89,4.81,overcast clouds
158,Poso,ID,-1.3959,120.7524,83.7,65,52,2.62,broken clouds
159,Zhezkazgan,KZ,47.8043,67.7144,69.12,34,0,5.46,clear sky
160,Plettenberg Bay,ZA,-34.0527,23.3716,54.75,46,64,6.91,broken clouds
161,Santa Maria,BR,-29.6842,-53.8069,62.17,95,100,4.12,overcast clouds
162,Villa Del Rosario,CO,7.8339,-72.4742,80.98,69,40,3.44,scattered clouds
163,Galesong,ID,-5.3166,119.3661,80.62,75,70,2.77,broken clouds
164,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,5.75,clear sky
165,Hoganas,SE,56.1997,12.558,59.05,74,99,11.01,overcast clouds
166,Changtu,CN,42.7788,124.0955,71.26,76,64,11.5,broken clouds
167,Abu Dhabi,AE,24.4667,54.3667,87.82,80,0,5.75,clear sky
168,Punta Alta,AR,-38.8759,-62.0736,51.13,51,0,18.32,clear sky
169,Kodiak,US,57.79,-152.4072,56.71,72,100,3.44,overcast clouds
170,Mount Gambier,AU,-37.8333,140.7667,51.71,93,100,6.91,mist
171,Santa Rosa,PH,14.3122,121.1114,90.1,74,94,5.93,overcast clouds
172,Shobara,JP,34.85,133.0167,79.92,49,3,6.69,clear sky
173,Krasnaya Polyana,RU,56.242,51.1442,58.62,97,100,5.03,overcast clouds
174,Okhotsk,RU,59.3833,143.3,51.28,77,100,5.44,overcast clouds
175,Gizo,SB,-8.103,156.8419,84.33,66,12,6.46,few clouds
176,Nemuro,JP,43.3236,145.575,53.46,97,88,3.74,overcast clouds
177,Cosala,MX,24.4125,-106.6908,89.02,45,12,6.2,few clouds
178,Derzhavinsk,KZ,51.1,66.3167,71.26,48,90,3.11,overcast clouds
179,Yellowknife,CA,62.456,-114.3525,59.56,54,80,5.01,broken clouds
180,Pueblo Nuevo,MX,23.3833,-105.3833,68.07,71,56,3.96,broken clouds
181,Iquique,CL,-20.2208,-70.1431,60.84,76,64,4.21,broken clouds
182,Bogande,BF,12.9714,-0.1436,82.24,56,100,11.92,overcast clouds
183,Vallenar,CL,-28.5708,-70.7581,48.31,87,0,0.98,clear sky
184,Karoi,ZW,-16.8099,29.6925,55.22,59,5,5.17,clear sky
185,Nouadhibou,MR,20.931,-17.0347,67.01,82,0,26.69,clear sky
186,Cermik,TR,38.1361,39.4493,74.88,40,0,3.22,clear sky
187,Mahebourg,MU,-20.4081,57.7,70.25,88,20,1.14,few clouds
188,Awbari,LY,26.5921,12.7805,77.38,23,0,13.09,clear sky
189,Iqaluit,CA,63.7506,-68.5145,38.7,60,24,20.0,few clouds
190,Ilulissat,GL,69.2167,-51.1,50.02,43,100,14.97,overcast clouds
191,Buala,SB,-8.145,159.5921,83.28,74,87,9.64,light rain
192,Feni,BD,23.0186,91.41,78.26,91,100,12.21,moderate rain
193,Gunjur,GM,13.2019,-16.7339,78.87,89,0,8.05,clear sky
194,Dikson,RU,73.5069,80.5464,32.34,93,100,8.95,overcast clouds
195,Lompoc,US,34.6391,-120.4579,72.7,68,0,28.01,clear sky
196,Lerwick,GB,60.1545,-1.1494,55.4,96,100,13.6,overcast clouds
197,Vakhrushev,RU,48.9833,142.9667,52.75,84,91,4.47,overcast clouds
198,San Quintin,MX,30.4833,-115.95,67.39,69,1,6.64,clear sky
199,Provideniya,RU,64.3833,-173.3,44.37,87,40,13.0,scattered clouds
200,Kalaleh,IR,37.3807,55.4916,71.37,65,0,2.35,clear sky
201,Hami,CN,42.8,93.45,81.16,28,100,5.97,overcast clouds
202,Kruisfontein,ZA,-34.0033,24.7314,45.88,41,100,7.4,overcast clouds
203,Kaitangata,NZ,-46.2817,169.8464,45.77,63,8,2.8,clear sky
204,Alofi,NU,-19.0595,-169.9187,80.49,74,75,16.11,broken clouds
205,Kavaratti,IN,10.5669,72.642,81.82,79,100,11.3,overcast clouds
206,Mitsamiouli,KM,-11.3847,43.2844,76.75,68,0,4.59,clear sky
207,Ayan,RU,56.45,138.1667,45.19,88,66,7.92,broken clouds
208,Yayva,RU,59.3303,57.2641,64.18,98,69,3.42,broken clouds
209,Kloulklubed,PW,7.0419,134.2556,82.9,69,100,4.7,overcast clouds
210,Ribeira Grande,PT,38.5167,-28.7,67.08,89,0,3.09,clear sky
211,Chernyshevskiy,RU,63.0128,112.4714,65.12,44,100,5.95,overcast clouds
212,Coahuayana,MX,18.7333,-103.6833,79.72,80,100,4.12,overcast clouds
213,Tura,IN,25.5198,90.2201,73.62,98,100,6.93,very heavy rain
214,Lorengau,PG,-2.0226,147.2712,83.34,78,100,10.69,overcast clouds
215,Sambava,MG,-14.2667,50.1667,68.05,87,26,5.61,scattered clouds
216,Vrangel,RU,42.7297,133.0839,60.96,87,92,5.23,overcast clouds
217,Naryan-Mar,RU,67.6713,53.087,54.79,82,100,12.41,light rain
218,Goderich,CA,43.7501,-81.7165,66.16,78,0,14.52,clear sky
219,Vardo,NO,70.3705,31.1107,40.98,81,100,13.8,overcast clouds
220,Alice Springs,AU,-23.7,133.8833,60.35,48,0,0.0,clear sky
221,Krasnyy Chikoy,RU,50.3643,108.7512,71.4,62,30,2.71,scattered clouds
222,Karratha,AU,-20.7377,116.8463,76.59,42,84,10.38,broken clouds
223,Tashtyp,RU,52.7939,89.8983,61.03,64,76,3.65,broken clouds
224,Kumbo,CM,6.2,10.6667,58.46,97,100,2.62,light rain
225,Ngunguru,NZ,-35.6167,174.5,61.52,63,98,3.36,overcast clouds
226,Codrington,AU,-38.2667,141.9667,54.64,82,100,6.4,overcast clouds
227,San Francisco,US,37.7749,-122.4194,73.31,67,20,24.16,few clouds
228,Dasoguz,TM,41.8363,59.9666,75.02,37,0,5.68,clear sky
229,Tyrma,RU,50.0833,132.1667,60.03,94,100,5.77,moderate rain
230,Acajutla,SV,13.5928,-89.8275,76.6,90,100,13.87,light rain
231,High Level,CA,58.5169,-117.136,72.43,34,93,4.12,overcast clouds
232,Sawakin,SD,19.1059,37.3321,83.68,64,5,3.24,clear sky
233,Turukhansk,RU,65.8167,87.9833,64.17,72,100,3.8,overcast clouds
234,Sestri Levante,IT,44.2732,9.3968,76.06,86,21,3.0,few clouds
235,Huambo,AO,-12.7761,15.7392,49.91,29,7,3.04,clear sky
236,Bagotville,AU,-28.9833,153.4167,67.86,55,5,4.76,clear sky
237,Saldanha,ZA,-33.0117,17.9442,58.06,65,98,14.12,overcast clouds
238,Alta Floresta,BR,-9.8756,-56.0861,74.71,64,54,3.13,broken clouds
239,Katsuura,JP,35.1333,140.3,73.42,88,100,15.23,light rain
240,Yangambi,CD,0.8102,24.4336,68.77,99,100,1.39,moderate rain
241,San Andres,CO,12.5847,-81.7006,78.82,89,100,2.3,overcast clouds
